yyww,cmkt,csize,cmom,return,risk-free
201404,-0.068,-0.022,-0.27,-0.009410767,0.055
201405,0.016,-0.121,-0.007,-0.161201779,0.045
201406,-0.184,-0.067,0.057,-0.242619887,0.015
201407,-0.071,0.08,0.129,-0.161930105,0.04
201408,-0.142,-0.115,-0.086,0.338606115,0.048
201409,0.227,-0.205,-0.149,0.03859293,0.045
201410,-0.053,-0.028,0.15,0.010424695,0.05
201411,-0.033,-0.324,-0.015,-0.043674539,0.045
201412,-0.065,0.236,-0.132,-0.072900634,0.03
201413,-0.189,-0.118,0.097,-0.019073509,0.025
201414,-0.063,-0.008,0.084,-0.018458594,0.03
201415,0.141,-0.096,0.22,0.063073204,0.025
201416,-0.053,-0.086,0.079,-0.043379873,0.015
201417,-0.088,0.029,-0.09,-0.018702016,0.02
201418,-0.039,-0.108,-0.066,0.012973714,0.02
201419,0.028,-0.04,0.106,0.000864077,0.025
201420,0.098,-0.019,0.205,0.060514316,0.028
201421,0.163,-0.234,0.056,0.081469749,0.03
201422,0.16,-0.017,0.186,0.016157238,0.035
201423,-0.022,0.023,-0.012,-0.048081296,0.033
201424,-0.068,-0.159,-0.115,0.010007906,0.022
201425,-0.047,-0.159,0.121,0.000436258,0.025
201426,0.084,-0.118,0.266,0.018077458,0.025
201427,-0.026,-0.027,-0.093,0.008900778,0.02
201428,-0.003,-0.072,0.127,-0.006121284,0.02
201429,0.001,-0.083,-0.057,-0.022021281,0.028
201430,-0.062,-0.071,0.315,-0.00314469,0.025
201431,-0.002,-0.059,-0.108,-0.00161776,0.025
201432,-0.036,0.027,-0.038,-0.052813306,0.025
201433,-0.147,-0.135,-0.002,-0.020702862,0.025
201434,0.064,0.078,0.445,0.007182876,0.02
201435,-0.072,-0.021,-0.079,-0.018856735,0.015
201436,0.003,0.004,0.095,-0.00568421,0.015
201437,-0.014,0.158,-0.2,-0.065239732,0.007
201438,-0.064,0.009,0.008,-0.013396944,0.013
201439,-0.106,-0.082,0.057,-0.075539342,0.01
201440,-0.127,0.052,-0.015,0.032314188,0.005
201441,0.176,-0.033,-0.041,0.034317929,0.018
201442,-0.036,-0.128,-0.051,-0.052111829,0.015
201443,-0.074,-0.022,-0.04,-0.027536293,0.022
