DATE,PCE-headline,PCE-core,UNRATE,NROUST,,DATE,PCE-headline,PCE-core,UNRATE,NROUST,,01/01/1961,01/01/1966
01/01/1960,16.314,17.033,5.2,5.45645237,,01/01/1960,16.32833333,17.055,5.133333333,5.45645237,,01/02/1961,01/02/1966
01/02/1960,16.331,17.065,4.8,5.45645237,,01/04/1960,16.41366667,17.11966667,5.233333333,5.463051,,01/03/1961,01/03/1966
01/03/1960,16.34,17.067,5.4,5.45645237,,01/07/1960,16.475,17.187,5.533333333,5.469829559,,01/04/1961,01/04/1966
01/04/1960,16.4,17.098,5.2,5.463051,,01/10/1960,16.548,17.243,6.266666667,5.47677,,01/05/1961,01/05/1966
01/05/1960,16.417,17.125,5.1,5.463051,,01/01/1961,16.57866667,17.27233333,6.8,5.483875,,01/06/1961,01/06/1966
01/06/1960,16.424,17.136,5.4,5.463051,,01/04/1961,16.57666667,17.32933333,7,5.491165,,01/07/1961,01/07/1966
01/07/1960,16.453,17.166,5.5,5.469829559,,01/07/1961,16.63666667,17.40466667,6.766666667,5.498675346,,01/08/1961,01/08/1966
01/08/1960,16.481,17.191,5.6,5.469829559,,01/10/1961,16.65433333,17.447,6.2,5.506455421,,01/09/1961,01/09/1966
01/09/1960,16.491,17.204,5.5,5.469829559,,01/01/1962,16.72633333,17.511,5.633333333,5.514559,,01/10/1961,01/10/1966
01/10/1960,16.51,17.214,6.1,5.47677,,01/04/1962,16.78566667,17.57833333,5.533333333,5.523042,,01/11/1961,01/11/1966
01/11/1960,16.565,17.26,6.1,5.47677,,01/07/1962,16.83066667,17.63633333,5.566666667,5.531950474,,01/12/1961,01/12/1966
01/12/1960,16.569,17.255,6.6,5.47677,,01/10/1962,16.88233333,17.66933333,5.533333333,5.541324,,01/01/1962,01/01/1967
01/01/1961,16.571,17.259,6.6,5.483875,,01/01/1963,16.93066667,17.728,5.766666667,5.551188,,01/02/1962,01/02/1967
01/02/1961,16.587,17.276,6.9,5.483875,,01/04/1963,16.95733333,17.79466667,5.733333333,5.561552,,01/03/1962,01/03/1967
01/03/1961,16.578,17.282,6.9,5.483875,,01/07/1963,17.039,17.86333333,5.5,5.572411,,01/04/1962,01/04/1967
01/04/1961,16.568,17.306,7,5.491165,,01/10/1963,17.10233333,17.94966667,5.566666667,5.583747387,,01/05/1962,01/05/1967
01/05/1961,16.577,17.328,7.1,5.491165,,01/01/1964,17.183,18.02533333,5.466666667,5.595527649,,01/06/1962,01/06/1967
01/06/1961,16.585,17.354,6.9,5.491165,,01/04/1964,17.22033333,18.07933333,5.2,5.607706,,01/07/1962,01/07/1967
